platform,category,action,represented_sors,action_numerator,action_prevalence,category_share,sparse_flag
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,MONETARY_SUSPENSION,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,ACCOUNT_TERMINATED,47973134,47384761,0.98773536,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,CONTENT_REMOVED,47973134,587837,0.01225346,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,CONTENT_DISABLED,47973134,510,1.063e-05,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,ACCOUNT_SUSPENDED,47973134,26,5.4e-07,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,VISIBILITY_OTHER,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,CONTENT_AGE_RESTRICTED,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,CONTENT_DEMOTED,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,CONTENT_INTERACTION_RESTRICTED,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,CONTENT_LABELLED,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,PROVISION_PARTIAL_SUSPENSION,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,PROVISION_PARTIAL_TERMINATION,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,PROVISION_TOTAL_SUSPENSION,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,PROVISION_TOTAL_TERMINATION,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,MONETARY_TERMINATION,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,MONETARY_SUSPENSION,47973134,0,0.0,0.5171955,False
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,CONTENT_REMOVED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,VISIBILITY_OTHER,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,CONTENT_DISABLED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,CONTENT_AGE_RESTRICTED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,CONTENT_DEMOTED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,CONTENT_INTERACTION_RESTRICTED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,CONTENT_LABELLED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,ACCOUNT_TERMINATED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,ACCOUNT_SUSPENDED,0,0,,0.0,True
